Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_Type,year,avg_payment,avg_charge,total_srvcs,total_benes,charge_to_payment_ratio
NC,Cardiology,2022,69.79,328.53,1648932.0,1057246,4.71
NC,Cardiology,2023,68.35,342.6,1646012.0,1009915,5.01
NC,Family Practice,2022,50.21,141.9,3353507.1,1937481,2.83
NC,Family Practice,2023,52.96,153.56,3311159.5,1733217,2.9
NC,Internal Medicine,2022,56.32,182.13,5053987.4,2460341,3.23
NC,Internal Medicine,2023,57.08,189.4,4454183.5,2216939,3.32
ND,Cardiology,2022,63.32,365.94,80692.0,64107,5.78
ND,Cardiology,2023,67.25,395.63,81164.0,64731,5.88
ND,Family Practice,2022,51.33,178.71,251150.0,135776,3.48
ND,Family Practice,2023,52.99,184.94,253459.0,135487,3.49
ND,Internal Medicine,2022,61.47,230.01,240005.0,95354,3.74
ND,Internal Medicine,2023,65.99,249.47,190469.0,85534,3.78
NE,Cardiology,2022,63.26,260.3,279082.0,203855,4.12
NE,Cardiology,2023,63.31,302.98,266243.0,197085,4.79
NE,Family Practice,2022,43.29,122.96,1337667.5,566819,2.84
NE,Family Practice,2023,47.31,141.6,1292864.3,542871,2.99
NE,Internal Medicine,2022,49.68,143.82,1004992.7,404430,2.89
NE,Internal Medicine,2023,50.18,150.98,1046228.5,381339,3.01
NH,Cardiology,2022,66.9,427.55,232240.0,187694,6.39
NH,Cardiology,2023,63.64,451.11,241057.0,197098,7.09
NH,Family Practice,2022,55.65,166.7,344490.0,213085,3.0
NH,Family Practice,2023,60.74,188.96,302815.0,201898,3.11
NH,Internal Medicine,2022,73.96,273.47,338247.0,222778,3.7
NH,Internal Medicine,2023,74.75,299.85,323912.0,216953,4.01
NJ,Cardiology,2022,105.9,447.7,2802306.9,1800019,4.23
NJ,Cardiology,2023,104.74,459.18,2837673.8,1837771,4.38
NJ,Family Practice,2022,64.24,181.37,1867346.8,1095805,2.82
NJ,Family Practice,2023,66.54,196.34,1841040.5,1078461,2.95
NJ,Internal Medicine,2022,73.71,227.84,5700852.6,2690065,3.09
NJ,Internal Medicine,2023,75.61,243.05,6130365.0,2697267,3.21
NM,Cardiology,2022,71.83,289.27,162050.0,122249,4.03
NM,Cardiology,2023,74.72,325.94,156217.0,118055,4.36
NM,Family Practice,2022,56.79,192.05,394461.0,234101,3.38
NM,Family Practice,2023,58.99,197.28,368948.0,223943,3.34
NM,Internal Medicine,2022,68.0,230.69,680948.0,220441,3.39
NM,Internal Medicine,2023,69.47,242.08,637472.0,213961,3.48
NV,Cardiology,2022,131.08,499.16,576006.0,319541,3.81
NV,Cardiology,2023,119.4,475.11,581063.0,320960,3.98
NV,Family Practice,2022,66.15,194.02,465154.0,256353,2.93
NV,Family Practice,2023,67.02,203.85,460518.0,253939,3.04
NV,Internal Medicine,2022,80.54,284.03,1198342.0,439961,3.53
NV,Internal Medicine,2023,81.2,283.9,1241604.0,426826,3.5
NY,Cardiology,2022,100.42,473.72,5414216.0,3376765,4.72
NY,Cardiology,2023,98.63,497.17,5515888.7,3383190,5.04
NY,Family Practice,2022,58.43,171.34,4089200.5,2228061,2.93
NY,Family Practice,2023,59.93,179.76,5009839.5,2226451,3.0
NY,Internal Medicine,2022,69.74,233.34,11762128.2,5473746,3.35
NY,Internal Medicine,2023,71.6,243.78,11590179.0,5185191,3.4
OH,Cardiology,2022,66.17,267.29,1457991.9,1117760,4.04
OH,Cardiology,2023,62.13,279.34,1468402.6,1126545,4.5
OH,Family Practice,2022,52.63,140.81,2715887.4,1571412,2.68
OH,Family Practice,2023,55.95,151.21,2541760.9,1493326,2.7
